Data,Y,XAU BGNL_rolling_max,ECSURPUS_rolling_max,BDIY_rolling_max,CRY_rolling_max,DXY_rolling_max,JPY_rolling_max,GBP_rolling_max,Cl1_rolling_max,VIX_rolling_max,USGG30YR_rolling_max,GT10_rolling_max,USGG2YR_rolling_max,USGG3M_rolling_max,US0001M_rolling_max,GTDEM30Y_rolling_max,GTDEM10Y_rolling_max,GTDEM2Y_rolling_max,EONIA_rolling_max,GTITL30YR_rolling_max,GTITL10YR_rolling_max,GTITL2YR_rolling_max,GTJPY30YR_rolling_max,GTJPY10YR_rolling_max,GTJPY2YR_rolling_max,GTGBP30Y_rolling_max,GTGBP20Y_rolling_max,GTGBP2Y_rolling_max,LUMSTRUU_rolling_max,LMBITR_rolling_max,LUACTRUU_rolling_max,LF98TRUU_rolling_max,LG30TRUU_rolling_max,LP01TREU_rolling_max,EMUSTRUU_rolling_max,LF94TRUU_rolling_max,MXUS_rolling_max,MXEU_rolling_max,MXJP_rolling_max,MXBR_rolling_max,MXRU_rolling_max,MXIN_rolling_max,MXCN_rolling_max
2000-02-22,1,305.5,0.497,1481.0,169.58,104.92,110.92,1.65,30.06,25.86,6.747,6.748,6.678,5.764,5.891,6.254,5.644,4.434,3.3,6.459,5.889,4.651,2.481,1.919,0.364,4.746,4.975,6.613,878.81,476.498,1009.07,549.29,311.078,120.51,240.144,123.762,1428.79,134.67,1034.58,945.15,234.37,315.21,34.3
2000-02-29,1,305.5,0.497,1531.0,170.2,105.92,110.92,1.65,30.43,25.86,6.747,6.748,6.678,5.781,5.913,6.254,5.644,4.439,3.34,6.459,5.889,4.664,2.481,1.919,0.378,4.746,4.975,6.613,879.57,478.746,1009.07,549.29,312.082,120.51,243.105,123.762,1428.79,135.71,1034.58,945.15,234.37,315.21,32.74
2000-03-07,0,305.5,0.497,1602.0,179.94,106.01,110.92,1.65,34.13,25.86,6.634,6.692,6.678,5.834,5.95,6.045,5.562,4.469,3.34,6.281,5.814,4.683,2.481,1.919,0.423,4.691,4.9,6.521,883.06,479.716,1009.07,549.29,314.149,121.394,246.522,123.762,1411.95,141.85,1034.58,945.15,234.18,315.21,32.46
2000-03-14,0,305.5,0.497,1645.0,179.94,106.01,110.92,1.617,34.13,25.86,6.423,6.619,6.678,5.886,6.004,5.944,5.562,4.5,3.52,6.188,5.814,4.683,2.481,1.919,0.43,4.647,4.871,6.472,883.06,481.542,1009.07,549.29,314.588,121.454,247.661,122.328,1411.95,141.85,1034.58,945.15,263.28,315.21,31.32
2000-03-21,0,305.5,0.566,1645.0,179.94,106.01,110.92,1.617,34.13,25.86,6.246,6.613,6.678,5.918,6.113,5.9,5.562,4.5,3.52,6.171,5.814,4.683,2.481,1.919,0.494,4.647,4.871,6.472,887.03,484.823,1010.44,549.29,315.483,121.454,249.914,122.328,1457.01,141.85,1034.58,945.15,263.28,315.21,31.32
2000-03-28,0,305.5,0.572,1645.0,179.94,106.01,110.92,1.617,34.13,25.86,6.246,6.552,6.628,5.918,6.131,5.9,5.562,4.5,3.59,6.171,5.814,4.683,2.35,1.884,0.494,4.647,4.871,6.435,887.03,488.362,1010.44,549.29,315.483,121.454,250.974,122.328,1474.82,142.68,1014.69,918.79,268.41,315.21,27.95
2000-04-04,0,305.5,0.631,1676.0,179.94,106.01,110.92,1.617,34.13,27.12,6.145,6.409,6.598,5.918,6.131,5.866,5.5,4.5,3.75,6.146,5.77,4.683,2.35,1.884,0.494,4.542,4.763,6.435,897.26,489.214,1021.25,549.29,315.483,121.454,250.974,124.639,1474.82,142.68,1039.55,918.79,268.41,315.21,27.95
2000-04-11,0,293.3,0.631,1684.0,179.94,106.01,109.97,1.602,34.13,27.25,6.145,6.409,6.598,5.918,6.131,5.866,5.5,4.5,3.75,6.146,5.77,4.683,2.35,1.884,0.494,4.542,4.763,6.435,897.26,491.498,1021.25,548.5,315.483,121.454,250.974,124.639,1474.82,142.68,1039.55,918.79,268.41,283.74,27.35
2000-04-18,0,292.0,0.631,1684.0,179.94,106.63,107.04,1.602,34.13,27.25,6.145,6.373,6.598,5.918,6.131,5.811,5.432,4.5,3.75,6.1,5.705,4.683,2.35,1.884,0.494,4.574,4.762,6.435,897.26,491.498,1021.25,548.5,315.483,121.454,250.974,124.639,1474.82,142.68,1039.55,918.79,268.41,283.74,29.59
2000-04-25,1,290.83,0.631,1684.0,175.67,108.67,107.04,1.602,31.69,27.25,6.09,6.292,6.598,5.918,6.15,5.754,5.359,4.56,3.75,6.042,5.636,4.73,2.35,1.884,0.494,4.597,4.783,6.435,897.26,491.498,1021.25,547.91,315.483,121.454,250.974,124.639,1474.82,142.68,1039.55,914.4,268.41,262.49,30.79
