Data,Y,XAU BGNL_rolling_median,ECSURPUS_rolling_median,BDIY_rolling_median,CRY_rolling_median,DXY_rolling_median,JPY_rolling_median,GBP_rolling_median,Cl1_rolling_median,VIX_rolling_median,USGG30YR_rolling_median,GT10_rolling_median,USGG2YR_rolling_median,USGG3M_rolling_median,US0001M_rolling_median,GTDEM30Y_rolling_median,GTDEM10Y_rolling_median,GTDEM2Y_rolling_median,EONIA_rolling_median,GTITL30YR_rolling_median,GTITL10YR_rolling_median,GTITL2YR_rolling_median,GTJPY30YR_rolling_median,GTJPY10YR_rolling_median,GTJPY2YR_rolling_median,GTGBP30Y_rolling_median,GTGBP20Y_rolling_median,GTGBP2Y_rolling_median,LUMSTRUU_rolling_median,LMBITR_rolling_median,LUACTRUU_rolling_median,LF98TRUU_rolling_median,LG30TRUU_rolling_median,LP01TREU_rolling_median,EMUSTRUU_rolling_median,LF94TRUU_rolling_median,MXUS_rolling_median,MXEU_rolling_median,MXJP_rolling_median,MXBR_rolling_median,MXRU_rolling_median,MXIN_rolling_median,MXCN_rolling_median
2000-02-22,1,287.65,0.191,1388.0,166.85,103.28,107.85,1.617,28.28,22.92,6.423,6.619,6.551,5.677,5.88,5.944,5.515,4.326,3.2,6.188,5.76,4.54,2.332,1.77,0.346,4.593,4.794,6.472,872.39,474.045,997.72,547.38,306.181,118.313,232.39,122.328,1385.93,129.5,993.98,885.56,216.82,237.48,31.32
2000-02-29,1,293.3,0.312,1393.0,167.24,104.22,108.73,1.611,28.85,23.02,6.246,6.613,6.551,5.708,5.88,5.9,5.5,4.39,3.25,6.171,5.76,4.638,2.332,1.801,0.349,4.593,4.794,6.467,873.35,474.733,997.91,547.99,309.476,118.608,237.812,122.328,1385.31,130.6,1007.12,885.56,206.14,258.02,31.29
2000-03-07,0,293.3,0.391,1393.0,168.86,104.69,108.73,1.611,29.62,23.37,6.231,6.552,6.551,5.74,5.885,5.866,5.482,4.419,3.26,6.146,5.728,4.648,2.33,1.801,0.359,4.548,4.768,6.41,873.5,475.192,998.77,548.17,310.577,118.791,240.116,122.328,1369.47,130.85,1007.12,885.56,206.14,275.1,27.95
2000-03-14,0,293.3,0.484,1481.0,169.58,104.92,108.73,1.597,30.06,23.45,6.145,6.409,6.551,5.764,5.891,5.85,5.459,4.434,3.28,6.118,5.71,4.651,2.33,1.814,0.364,4.542,4.763,6.376,878.81,476.498,1004.17,548.17,311.078,119.962,240.144,122.328,1333.28,134.67,1007.12,874.47,206.14,275.1,27.66
2000-03-21,0,293.3,0.488,1531.0,170.2,105.2,108.73,1.58,30.06,23.37,6.14,6.373,6.521,5.781,5.913,5.811,5.432,4.434,3.28,6.1,5.705,4.651,2.332,1.844,0.378,4.471,4.698,6.36,879.57,478.746,1004.66,548.17,312.082,119.962,243.105,122.002,1333.28,135.71,994.72,885.56,218.0,275.1,27.35
2000-03-28,0,292.0,0.497,1602.0,170.2,105.53,106.98,1.58,30.06,24.31,6.09,6.361,6.521,5.834,5.95,5.754,5.415,4.439,3.34,6.042,5.669,4.651,2.332,1.844,0.423,4.471,4.698,6.36,882.52,479.716,1007.3,547.99,314.149,121.071,246.522,122.002,1333.28,138.6,994.72,885.56,234.18,275.1,27.33
2000-04-04,0,290.83,0.497,1624.0,170.2,105.53,106.1,1.58,29.62,24.41,6.086,6.292,6.502,5.876,6.004,5.735,5.359,4.439,3.49,6.019,5.636,4.648,2.332,1.844,0.43,4.467,4.663,6.36,883.06,481.542,1008.69,547.91,314.149,121.071,247.661,122.002,1333.28,138.6,994.72,874.47,249.45,259.64,26.54
2000-04-11,0,289.6,0.509,1627.0,170.2,105.81,106.1,1.58,28.0,24.41,5.977,6.151,6.486,5.876,6.113,5.62,5.278,4.439,3.52,5.931,5.555,4.646,2.289,1.814,0.43,4.451,4.65,6.329,883.36,484.823,1008.69,546.84,314.149,121.071,247.732,122.002,1457.01,138.6,1009.1,874.47,259.18,259.64,26.46
2000-04-18,0,287.4,0.509,1645.0,170.05,105.81,105.93,1.579,27.09,24.86,5.969,6.135,6.468,5.876,6.13,5.609,5.253,4.429,3.58,5.929,5.535,4.622,2.205,1.792,0.43,4.451,4.65,6.298,887.03,488.362,1010.44,544.41,314.149,121.071,247.732,122.002,1457.01,138.6,994.72,868.24,259.18,253.36,26.54
2000-04-25,1,281.7,0.509,1647.0,168.78,105.81,105.72,1.58,26.11,25.24,5.936,6.128,6.468,5.876,6.13,5.609,5.253,4.429,3.58,5.929,5.535,4.622,2.205,1.782,0.43,4.467,4.663,6.329,894.2,489.058,1010.44,538.79,311.358,121.071,247.732,124.639,1457.01,137.99,1008.62,864.74,259.18,238.15,27.33
2000-05-02,1,280.95,0.509,1647.0,168.78,105.94,105.93,1.58,26.11,26.12,5.936,6.128,6.484,5.876,6.131,5.609,5.253,4.429,3.59,5.929,5.535,4.622,2.175,1.742,0.414,4.467,4.663,6.292,894.2,489.058,1010.44,538.45,311.147,121.071,247.732,124.639,1457.01,137.99,1009.1,860.38,259.18,226.13,27.33
2000-05-09,1,279.9,0.506,1647.0,168.78,106.63,105.93,1.58,26.11,27.12,5.936,6.128,6.484,5.876,6.131,5.62,5.278,4.465,3.61,5.931,5.555,4.646,2.147,1.73,0.414,4.489,4.703,6.29,894.2,489.058,1009.42,537.98,310.946,121.071,247.136,124.639,1439.63,137.33,1012.28,791.3,267.67,219.97,28.12
