Data,Y,XAU BGNL_rolling_min,ECSURPUS_rolling_min,BDIY_rolling_min,CRY_rolling_min,DXY_rolling_min,JPY_rolling_min,GBP_rolling_min,Cl1_rolling_min,VIX_rolling_min,USGG30YR_rolling_min,GT10_rolling_min,USGG2YR_rolling_min,USGG3M_rolling_min,US0001M_rolling_min,GTDEM30Y_rolling_min,GTDEM10Y_rolling_min,GTDEM2Y_rolling_min,EONIA_rolling_min,GTITL30YR_rolling_min,GTITL10YR_rolling_min,GTITL2YR_rolling_min,GTJPY30YR_rolling_min,GTJPY10YR_rolling_min,GTJPY2YR_rolling_min,GTGBP30Y_rolling_min,GTGBP20Y_rolling_min,GTGBP2Y_rolling_min,LUMSTRUU_rolling_min,LMBITR_rolling_min,LUACTRUU_rolling_min,LF98TRUU_rolling_min,LG30TRUU_rolling_min,LP01TREU_rolling_min,EMUSTRUU_rolling_min,LF94TRUU_rolling_min,MXUS_rolling_min,MXEU_rolling_min,MXJP_rolling_min,MXBR_rolling_min,MXRU_rolling_min,MXIN_rolling_min,MXCN_rolling_min
2000-02-22,1,282.75,0.043,1277.0,157.26,100.56,105.47,1.597,25.77,21.25,6.086,6.361,6.428,5.378,5.781,5.735,5.415,4.27,2.89,6.019,5.669,4.495,2.259,1.625,0.293,4.471,4.698,6.36,869.33,472.723,990.48,545.68,305.057,116.464,230.527,122.328,1315.93,126.48,974.83,842.6,201.89,217.34,27.66
2000-02-29,1,282.75,0.043,1277.0,165.01,101.86,105.47,1.58,28.02,21.25,6.086,6.361,6.432,5.378,5.803,5.735,5.415,4.27,3.03,6.019,5.669,4.511,2.259,1.625,0.293,4.471,4.698,6.36,869.33,472.723,990.48,545.68,305.303,117.267,231.377,122.002,1315.93,126.48,974.83,842.6,199.23,227.08,26.2
2000-03-07,0,282.75,0.135,1277.0,165.43,102.41,106.04,1.576,28.02,21.25,6.086,6.361,6.432,5.562,5.819,5.735,5.415,4.27,3.15,6.019,5.669,4.511,2.174,1.625,0.293,4.329,4.563,6.298,871.22,472.723,997.68,546.7,305.997,117.995,231.942,122.002,1315.93,126.48,974.83,842.6,199.23,233.0,26.2
2000-03-14,0,282.75,0.191,1277.0,165.43,103.28,104.84,1.575,28.02,21.25,6.086,6.292,6.468,5.677,5.88,5.735,5.359,4.326,3.2,6.019,5.636,4.54,2.174,1.77,0.304,4.329,4.563,6.298,871.22,473.255,997.72,547.38,305.997,118.313,231.942,122.002,1315.93,129.19,943.05,842.6,199.23,237.48,26.2
2000-03-21,0,289.6,0.312,1277.0,165.43,103.28,104.84,1.572,28.0,21.25,5.969,6.135,6.468,5.677,5.88,5.564,5.221,4.39,3.2,5.858,5.503,4.59,2.174,1.792,0.304,4.315,4.559,6.292,872.39,474.733,997.72,546.84,309.476,118.313,237.812,122.002,1315.93,130.6,943.05,866.46,199.23,238.15,25.74
2000-03-28,0,279.9,0.391,1393.0,168.86,103.28,104.84,1.572,27.09,21.7,5.969,6.135,6.468,5.74,5.88,5.564,5.221,4.419,3.2,5.858,5.503,4.59,2.174,1.792,0.304,4.315,4.559,6.292,873.35,475.192,997.72,544.41,310.577,118.313,240.116,122.002,1315.93,130.6,943.05,866.46,199.23,238.15,25.74
2000-04-04,0,279.9,0.484,1481.0,166.01,103.28,104.66,1.572,25.45,21.7,5.773,5.895,6.308,5.764,5.88,5.564,5.182,4.391,3.2,5.858,5.482,4.585,2.174,1.782,0.304,4.315,4.559,6.292,878.81,476.498,1004.17,536.9,311.078,118.313,240.144,122.002,1315.93,130.85,943.05,864.74,199.23,226.13,25.74
2000-04-11,0,279.9,0.484,1531.0,162.63,105.17,104.66,1.572,24.14,21.7,5.77,5.882,6.308,5.781,5.913,5.521,5.162,4.39,3.28,5.843,5.443,4.583,2.077,1.742,0.378,4.315,4.559,6.287,879.57,478.746,1004.17,536.9,311.147,119.962,243.105,122.002,1319.95,135.71,943.05,860.38,199.23,226.13,25.74
2000-04-18,0,279.9,0.484,1602.0,162.63,105.17,104.66,1.572,24.14,21.7,5.77,5.882,6.308,5.813,5.95,5.521,5.162,4.39,3.28,5.843,5.443,4.583,2.042,1.713,0.414,4.315,4.559,6.286,882.52,479.716,1004.17,536.9,309.803,120.06,245.635,122.002,1319.95,132.97,943.05,782.6,234.18,219.97,25.74
2000-04-25,1,278.55,0.363,1624.0,162.63,105.17,104.66,1.572,24.14,21.7,5.77,5.882,6.308,5.813,6.004,5.521,5.162,4.39,3.35,5.843,5.443,4.583,2.042,1.713,0.384,4.315,4.559,6.286,882.52,481.542,1004.17,536.9,309.803,120.06,245.635,122.002,1324.43,132.97,943.05,768.91,235.12,207.69,25.74
2000-05-02,1,274.9,0.337,1622.0,162.63,105.17,104.66,1.559,24.14,21.7,5.77,5.882,6.308,5.813,6.113,5.521,5.162,4.39,3.35,5.843,5.443,4.583,2.042,1.713,0.356,4.315,4.559,6.196,883.36,484.823,1001.05,536.9,309.803,120.06,245.635,122.002,1409.11,132.97,967.7,768.91,235.12,193.26,25.74
2000-05-09,1,274.9,0.337,1609.0,162.63,105.17,104.66,1.532,24.14,24.86,5.77,5.882,6.308,5.813,6.13,5.521,5.162,4.39,3.35,5.843,5.443,4.583,2.042,1.711,0.32,4.451,4.641,6.196,878.13,480.6,986.94,536.9,306.686,120.06,240.071,122.002,1375.57,132.97,967.7,743.21,235.12,193.26,26.42
2000-05-16,1,274.9,0.337,1609.0,162.63,105.17,104.66,1.499,24.14,24.34,5.77,5.882,6.308,5.813,6.13,5.521,5.162,4.39,3.35,5.843,5.443,4.583,2.042,1.711,0.32,4.451,4.641,6.196,878.13,479.047,986.94,536.9,306.686,120.06,239.814,124.358,1375.57,132.97,967.7,743.21,235.12,183.77,26.42
2000-05-23,0,274.15,0.337,1598.0,162.63,105.94,104.73,1.475,24.14,24.34,5.77,5.882,6.329,5.813,6.13,5.521,5.162,4.39,3.35,5.843,5.443,4.583,2.042,1.711,0.314,4.451,4.641,6.196,878.13,478.655,986.94,535.5,303.868,117.021,236.653,124.358,1337.55,132.59,942.83,694.36,202.11,169.39,26.46
2000-05-30,0,273.35,0.336,1569.0,167.54,106.63,104.73,1.475,25.33,23.62,5.91,6.059,6.329,5.764,6.13,5.464,5.241,4.429,3.35,5.913,5.535,4.622,2.042,1.711,0.314,4.457,4.653,6.196,878.13,478.655,986.94,531.96,303.868,115.248,236.653,124.358,1337.55,132.59,942.83,694.36,202.11,169.39,28.12
