iter	Logloss
0	0.6449716959
1	0.6071580187
2	0.57500501
3	0.5395113542
4	0.5188820889
5	0.4957905138
6	0.4715036885
7	0.4531716991
8	0.4371823158
9	0.4161372224
10	0.3985978817
11	0.3875853384
12	0.3749665963
13	0.3673871568
14	0.358100091
15	0.3511574728
16	0.3413088172
17	0.3329675977
18	0.3261870197
19	0.3211837474
20	0.3172808494
21	0.3110007274
22	0.307151157
23	0.3031637932
24	0.2996852546
25	0.2949910208
26	0.2906764613
27	0.2867678664
28	0.283863713
29	0.2809915713
30	0.2785900639
31	0.274578558
32	0.2729859241
33	0.2704251549
34	0.2679971809
35	0.2658038123
36	0.263164952
37	0.2611881896
38	0.2581682545
39	0.2564279381
40	0.252666994
41	0.2503034775
42	0.2468833951
43	0.2460215353
44	0.2431404166
45	0.241506472
46	0.2399208473
47	0.2377441677
48	0.2360195552
49	0.2347262394
50	0.2338341039
51	0.2318468965
52	0.2308160078
53	0.2290036324
54	0.2260507517
55	0.2236565092
56	0.2210926104
57	0.2200580802
58	0.2177816921
59	0.216912162
60	0.2156332348
61	0.2147630687
62	0.2125714557
63	0.2113778644
64	0.2102697305
65	0.2093863014
66	0.208512629
67	0.2072645491
68	0.2054012393
69	0.2040771265
70	0.2031755005
71	0.2024642443
72	0.2010512257
73	0.2005205733
74	0.1995532036
75	0.1979404424
76	0.1969698596
77	0.1966579268
78	0.1960821403
79	0.1958547934
80	0.1949257519
81	0.1946325926
82	0.1934950215
83	0.192990291
84	0.1918835682
85	0.1903690179
86	0.1893633989
87	0.1883722059
88	0.186899462
89	0.1863239522
90	0.1847413171
91	0.1837951036
92	0.1833450302
93	0.1827212054
94	0.1813533778
95	0.1807700206
96	0.18024189
97	0.1800471705
98	0.1790881287
99	0.1785931054
