iter	Passed	Remaining
0	2	280
1	5	245
2	8	262
3	10	250
4	12	238
5	14	231
6	16	225
7	19	223
8	21	221
9	24	217
10	26	213
11	28	209
12	30	206
13	32	202
14	35	199
15	37	197
16	39	194
17	42	191
18	44	188
19	46	186
20	48	183
21	51	182
22	53	180
23	56	178
24	58	175
25	60	173
26	63	170
27	65	168
28	68	166
29	70	164
30	72	162
31	75	159
32	77	157
33	79	155
34	82	152
35	85	151
36	87	149
37	89	146
38	92	144
39	94	142
40	97	139
41	99	137
42	102	135
43	104	133
44	107	130
45	109	128
46	111	125
47	114	123
48	116	121
49	119	119
50	121	117
51	124	114
52	126	112
53	128	109
54	131	107
55	134	105
56	136	102
57	138	100
58	141	98
59	143	95
60	145	93
61	148	90
62	150	88
63	152	86
64	155	83
65	157	81
66	160	78
67	162	76
68	165	74
69	167	71
70	169	69
71	172	66
72	174	64
73	177	62
74	179	59
75	182	57
76	184	55
77	186	52
78	189	50
79	191	47
80	194	45
81	196	43
82	199	40
83	201	38
84	204	36
85	206	33
86	208	31
87	211	28
88	214	26
89	216	24
90	219	21
91	222	19
92	224	16
93	227	14
94	229	12
95	232	9
96	234	7
97	237	4
98	239	2
99	242	0
