Data,Y,VIX,VIX_lag_7,VIX_lag_14,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_14,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_14,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_14,MXJP,MXJP_lag_7,MXJP_lag_14,MXEU,MXEU_lag_7,MXEU_lag_14,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_14,MXUS,MXUS_lag_7,MXUS_lag_14,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_14,MXIN,MXIN_lag_7,MXIN_lag_14
2000-04-18,0,26.12,23.37,22.5,4.622,4.664,4.495,5.535,5.77,5.777,5.929,6.146,6.321,967.7,1014.69,990.59,132.97,135.71,127.75,309.803,312.082,305.057,1410.47,1333.28,1416.12,537.47,547.99,546.04,219.97,275.1,217.34
2000-04-25,1,25.24,24.31,21.5,4.73,4.683,4.535,5.62,5.705,5.889,5.986,6.1,6.459,1008.62,994.72,993.98,137.08,141.85,129.5,310.946,314.149,305.303,1439.63,1319.95,1428.79,538.79,548.5,545.68,207.69,283.74,227.08
2000-05-02,1,28.5,24.41,23.02,4.854,4.681,4.511,5.625,5.636,5.76,5.963,6.042,6.281,1031.16,943.05,974.83,142.61,138.6,126.48,309.898,314.588,306.181,1409.11,1324.43,1385.93,537.67,547.91,546.7,193.26,253.36,233.0
2000-05-09,1,28.93,21.7,23.45,4.956,4.59,4.54,5.705,5.503,5.71,5.989,5.858,6.188,1012.28,987.77,1007.12,137.33,139.93,129.19,306.686,315.483,305.997,1375.57,1457.01,1385.31,537.98,546.84,547.38,200.09,238.15,237.48
2000-05-16,1,24.34,24.86,21.25,5.028,4.646,4.638,5.706,5.555,5.728,5.975,5.931,6.118,1002.21,1009.1,1034.58,140.15,142.68,134.67,306.731,315.174,309.476,1426.88,1474.82,1411.95,538.5,544.41,548.25,183.77,259.64,258.02
2000-05-23,0,25.87,27.12,22.92,5.151,4.585,4.651,5.743,5.482,5.814,6.033,5.869,6.171,942.83,1039.55,1007.86,132.59,137.99,130.6,303.868,311.147,310.577,1337.55,1465.45,1369.47,535.5,536.9,548.17,169.39,226.13,288.98
2000-05-30,0,23.62,27.25,25.86,5.11,4.583,4.648,5.603,5.443,5.669,5.913,5.843,6.019,943.51,1028.54,987.38,135.69,136.71,130.85,305.059,311.358,311.078,1379.85,1468.75,1315.93,531.96,538.45,549.29,181.38,262.49,315.21
2000-06-06,0,23.05,26.12,23.37,4.96,4.622,4.664,5.527,5.535,5.77,5.895,5.929,6.146,983.03,967.7,1014.69,139.1,132.97,135.71,308.928,309.803,312.082,1412.52,1410.47,1333.28,535.51,537.47,547.99,196.46,219.97,275.1
2000-06-13,0,21.67,25.24,24.31,5.053,4.73,4.683,5.514,5.62,5.705,5.871,5.986,6.1,975.17,1008.62,994.72,137.78,137.08,141.85,311.496,310.946,314.149,1419.28,1439.63,1319.95,538.48,538.79,548.5,197.81,207.69,283.74
2000-06-20,0,20.88,28.5,24.41,5.035,4.854,4.681,5.514,5.625,5.636,5.878,5.963,6.042,969.96,1031.16,943.05,138.75,142.61,138.6,313.182,309.898,314.588,1425.88,1409.11,1324.43,541.37,537.67,547.91,212.98,193.26,253.36
2000-06-27,0,21.8,28.93,21.7,5.15,4.956,4.59,5.641,5.705,5.503,5.934,5.989,5.858,979.46,1012.28,987.77,135.97,137.33,139.93,313.082,306.686,315.483,1402.53,1375.57,1457.01,541.69,537.98,546.84,203.46,200.09,238.15
2000-07-04,0,19.83,24.34,24.86,5.164,5.028,4.646,5.629,5.706,5.555,5.929,5.975,5.931,1001.01,1002.21,1009.1,136.71,140.15,142.68,314.589,306.731,315.174,1421.65,1426.88,1474.82,543.2,538.5,544.41,212.67,183.77,259.64
2000-07-11,0,20.11,25.87,27.12,5.171,5.151,4.585,5.564,5.743,5.482,5.933,6.033,5.869,999.85,942.83,1039.55,137.9,132.59,137.99,315.563,303.868,311.147,1429.53,1337.55,1465.45,544.81,535.5,536.9,210.57,169.39,226.13
2000-07-18,0,19.75,23.62,27.25,5.32,5.11,4.583,5.659,5.603,5.443,5.971,5.913,5.843,956.45,943.51,1028.54,139.64,135.69,136.71,317.09,305.059,311.358,1439.0,1379.85,1468.75,547.1,531.96,538.45,203.91,181.38,262.49
2000-07-25,0,19.39,23.05,26.12,5.268,4.96,4.622,5.555,5.527,5.535,5.883,5.895,5.929,932.36,983.03,967.7,138.14,139.1,132.97,318.568,308.928,309.803,1418.85,1412.52,1410.47,548.7,535.51,537.47,187.73,196.46,219.97
2000-08-01,0,20.55,21.67,25.24,5.221,5.053,4.73,5.514,5.514,5.62,5.832,5.871,5.986,920.68,975.17,1008.62,136.75,137.78,137.08,318.375,311.496,310.946,1391.35,1419.28,1439.63,546.73,538.48,538.79,183.7,197.81,207.69
2000-08-08,0,18.79,20.88,28.5,5.217,5.035,4.854,5.541,5.514,5.625,5.856,5.878,5.963,911.28,969.96,1031.16,138.31,138.75,142.61,319.949,313.182,309.898,1428.75,1425.88,1409.11,548.71,541.37,537.67,185.28,212.98,193.26
2000-08-15,0,17.98,21.8,28.93,5.353,5.15,4.956,5.578,5.641,5.705,5.85,5.934,5.989,927.15,979.46,1012.28,140.05,135.97,137.33,320.1,313.082,306.686,1427.27,1402.53,1375.57,547.07,541.69,537.98,182.66,203.46,200.09
2000-08-22,0,17.47,19.83,24.34,5.462,5.164,5.028,5.588,5.629,5.706,5.793,5.929,5.975,928.87,1001.01,1002.21,140.42,136.71,140.15,319.968,314.589,306.731,1435.93,1421.65,1426.88,547.44,543.2,538.5,193.8,212.67,183.77
2000-08-29,0,16.89,20.11,25.87,5.422,5.171,5.151,5.668,5.564,5.743,5.876,5.933,6.033,956.92,999.85,942.83,140.11,137.9,132.59,320.804,315.563,303.868,1450.16,1429.53,1337.55,548.36,544.81,535.5,192.55,210.57,169.39
