VIX,GTITL2YR,GTITL10YR,GTITL30YR,MXJP,MXEU,LP01TREU,LG30TRUU,MXUS,LF98TRUU,MXIN,EONIA,EMUSTRUU,LF94TRUU,LUACTRUU,JPY,MXCN,MXRU,LMBITR,GTDEM30Y,GTDEM10Y,GTJPY10YR,GTDEM2Y,GTJPY30YR,GTJPY2YR,LUMSTRUU,DXY,GTGBP20Y,GTGBP30Y,GBP,ECSURPUS,BDIY,CRY,Cl1,Y,Data
22.5,4.495,5.777,6.321,990.59,127.75,116.464,305.057,1416.12,546.04,217.34,2.89,230.527,123.762,990.75,105.86,34.3,224.33,474.045,6.121,5.541,1.709,4.316,2.422,0.346,870.94,100.56,4.77,4.535,1.646,0.077,1388.0,157.26,25.77,0,2000-01-11
21.5,4.535,5.889,6.459,993.98,129.5,117.267,305.303,1428.79,545.68,227.08,3.03,231.377,123.762,990.48,105.47,32.74,234.37,473.223,6.254,5.644,1.765,4.321,2.418,0.349,869.33,101.86,4.975,4.746,1.638,0.043,1405.0,165.01,28.85,0,2000-01-18
23.02,4.511,5.76,6.281,974.83,126.48,117.995,306.181,1385.93,546.7,233.0,3.15,232.39,123.762,997.68,106.04,32.46,216.82,472.723,6.045,5.515,1.625,4.27,2.259,0.293,873.5,102.41,4.9,4.691,1.65,0.135,1368.0,167.24,28.28,0,2000-01-25
23.45,4.54,5.71,6.188,1007.12,129.19,120.51,305.997,1385.31,547.38,237.48,3.3,231.942,122.328,997.91,107.85,31.29,201.89,473.255,5.944,5.459,1.77,4.326,2.33,0.364,871.22,104.92,4.794,4.593,1.611,0.191,1311.0,166.85,28.22,0,2000-02-01
21.25,4.638,5.728,6.118,1034.58,134.67,118.791,309.476,1411.95,548.25,258.02,3.26,237.812,122.328,998.77,109.3,31.32,218.0,474.733,5.85,5.482,1.919,4.39,2.481,0.359,872.39,104.22,4.768,4.548,1.611,0.312,1277.0,165.43,28.02,1,2000-02-08
22.92,4.651,5.814,6.171,1007.86,130.6,118.608,310.577,1369.47,548.17,288.98,3.25,240.116,122.328,997.72,108.73,27.66,204.59,475.192,5.9,5.562,1.801,4.419,2.309,0.333,873.35,104.69,4.871,4.647,1.597,0.391,1393.0,169.58,30.06,1,2000-02-15
25.86,4.648,5.669,6.019,987.38,130.85,118.313,311.078,1315.93,549.29,315.21,3.2,240.144,122.328,1009.07,110.92,27.95,206.14,476.498,5.735,5.415,1.86,4.434,2.332,0.304,878.81,103.28,4.698,4.471,1.617,0.497,1481.0,168.86,29.62,1,2000-02-22
23.37,4.664,5.77,6.146,1014.69,135.71,119.962,312.082,1333.28,547.99,275.1,3.34,243.105,122.002,1004.66,109.97,26.2,199.23,478.746,5.866,5.5,1.844,4.439,2.341,0.378,879.57,105.92,4.763,4.542,1.58,0.497,1531.0,170.2,30.43,1,2000-02-29
24.31,4.683,5.705,6.1,994.72,141.85,121.394,314.149,1319.95,548.5,283.74,3.28,246.522,122.002,1007.3,106.1,26.54,234.18,479.716,5.811,5.432,1.792,4.469,2.174,0.423,883.06,106.01,4.563,4.329,1.576,0.484,1602.0,179.94,34.13,0,2000-03-07
24.41,4.681,5.636,6.042,943.05,138.6,121.454,314.588,1324.43,547.91,253.36,3.52,247.661,122.002,1004.17,104.84,27.35,263.28,481.542,5.754,5.359,1.814,4.5,2.289,0.43,882.52,105.2,4.65,4.415,1.575,0.488,1645.0,175.67,31.69,0,2000-03-14
21.7,4.59,5.503,5.858,987.77,139.93,121.144,315.483,1457.01,546.84,238.15,3.49,249.914,122.002,1010.44,106.98,25.74,249.45,484.823,5.564,5.221,1.884,4.421,2.339,0.494,887.03,105.81,4.559,4.315,1.572,0.566,1624.0,171.25,28.0,0,2000-03-21
24.86,4.646,5.555,5.931,1009.1,142.68,121.071,315.174,1474.82,544.41,259.64,3.59,250.974,122.002,1008.69,105.93,27.33,268.41,488.362,5.62,5.278,1.875,4.465,2.35,0.492,883.36,105.53,4.703,4.489,1.588,0.572,1627.0,170.05,27.09,0,2000-03-28
27.12,4.585,5.482,5.869,1039.55,137.99,120.06,311.147,1465.45,536.9,226.13,3.75,248.429,124.639,1021.25,104.66,26.42,267.67,489.214,5.569,5.182,1.782,4.391,2.205,0.439,897.26,105.17,4.663,4.467,1.602,0.631,1676.0,166.01,25.45,0,2000-04-04
27.25,4.583,5.443,5.843,1028.54,136.71,120.212,311.358,1468.75,538.45,262.49,3.58,247.732,124.639,1017.81,107.04,26.46,259.18,491.498,5.521,5.162,1.742,4.39,2.077,0.414,895.22,105.94,4.641,4.451,1.587,0.509,1684.0,162.63,24.14,0,2000-04-11
26.12,4.622,5.535,5.929,967.7,132.97,120.195,309.803,1410.47,537.47,219.97,3.61,245.635,124.639,1010.63,104.73,29.59,235.12,490.06,5.609,5.253,1.713,4.429,2.042,0.414,896.09,106.63,4.762,4.574,1.579,0.506,1670.0,167.54,26.11,0,2000-04-18
25.24,4.73,5.62,5.986,1008.62,137.08,121.397,310.946,1439.63,538.79,207.69,3.35,247.136,124.639,1009.42,105.72,30.79,249.61,489.058,5.675,5.334,1.718,4.56,2.101,0.384,894.2,108.67,4.783,4.597,1.58,0.363,1647.0,168.78,25.33,1,2000-04-25
28.5,4.854,5.625,5.963,1031.16,142.61,122.279,309.898,1409.11,537.67,193.26,3.93,246.095,124.358,1001.05,108.44,29.53,268.6,486.321,5.641,5.343,1.73,4.695,2.175,0.356,888.77,110.26,4.653,4.457,1.559,0.337,1622.0,173.74,26.89,1,2000-05-02
28.93,4.956,5.705,5.989,1012.28,137.33,121.607,306.686,1375.57,537.98,200.09,4.03,240.071,124.358,986.94,109.48,28.12,272.04,480.6,5.62,5.355,1.711,4.786,2.147,0.32,878.13,110.75,4.712,4.495,1.532,0.414,1609.0,177.22,28.65,1,2000-05-09
24.34,5.028,5.706,5.975,1002.21,140.15,120.103,306.731,1426.88,538.5,183.77,3.9,239.814,124.358,990.92,109.73,32.29,261.52,479.047,5.567,5.348,1.744,4.852,2.201,0.343,879.56,111.31,4.718,4.487,1.499,0.4,1612.0,182.08,29.73,1,2000-05-16
25.87,5.151,5.743,6.033,942.83,132.59,117.021,303.868,1337.55,535.5,169.39,3.79,236.653,124.358,990.46,106.78,30.11,202.11,478.655,5.545,5.342,1.716,4.958,2.326,0.314,882.42,111.44,4.835,4.612,1.475,0.42,1598.0,182.56,28.78,0,2000-05-23
23.62,5.11,5.603,5.913,943.51,135.69,115.248,305.059,1379.85,531.96,181.38,4.02,240.921,124.358,996.6,106.47,28.38,226.74,481.789,5.464,5.241,1.716,4.924,2.191,0.333,886.95,108.93,4.693,4.457,1.496,0.336,1569.0,184.89,30.35,0,2000-05-30
23.05,4.96,5.527,5.895,983.03,139.1,116.452,308.928,1412.52,535.51,196.46,4.16,245.36,121.331,1016.26,105.86,32.6,234.24,487.542,5.409,5.138,1.716,4.76,2.283,0.483,904.13,106.59,4.628,4.412,1.527,0.027,1559.0,184.25,29.75,0,2000-06-06
