VIX,VIX_lag_7,VIX_lag_2,VIX_lag_4,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_2,GTITL2YR_lag_4,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_2,GTITL10YR_lag_4,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_2,GTITL30YR_lag_4,MXJP,MXJP_lag_7,MXJP_lag_2,MXJP_lag_4,MXEU,MXEU_lag_7,MXEU_lag_2,MXEU_lag_4,LP01TREU,LP01TREU_lag_7,LP01TREU_lag_2,LP01TREU_lag_4,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_2,LG30TRUU_lag_4,MXUS,MXUS_lag_7,MXUS_lag_2,MXUS_lag_4,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_2,LF98TRUU_lag_4,MXIN,MXIN_lag_7,MXIN_lag_2,MXIN_lag_4,EONIA,EONIA_lag_7,EONIA_lag_2,EONIA_lag_4
23.37,22.5,22.92,23.45,4.664,4.495,4.651,4.54,5.77,5.777,5.814,5.71,6.146,6.321,6.171,6.188,1014.69,990.59,1007.86,1007.12,135.71,127.75,130.6,129.19,119.962,116.464,118.608,120.51,312.082,305.057,310.577,305.997,1333.28,1416.12,1369.47,1385.31,547.99,546.04,548.17,547.38,275.1,217.34,288.98,237.48,3.34,2.89,3.25,3.3
24.31,21.5,25.86,21.25,4.683,4.535,4.648,4.638,5.705,5.889,5.669,5.728,6.1,6.459,6.019,6.118,994.72,993.98,987.38,1034.58,141.85,129.5,130.85,134.67,121.394,117.267,118.313,118.791,314.149,305.303,311.078,309.476,1319.95,1428.79,1315.93,1411.95,548.5,545.68,549.29,548.25,283.74,227.08,315.21,258.02,3.28,3.03,3.2,3.26
24.41,23.02,23.37,22.92,4.681,4.511,4.664,4.651,5.636,5.76,5.77,5.814,6.042,6.281,6.146,6.171,943.05,974.83,1014.69,1007.86,138.6,126.48,135.71,130.6,121.454,117.995,119.962,118.608,314.588,306.181,312.082,310.577,1324.43,1385.93,1333.28,1369.47,547.91,546.7,547.99,548.17,253.36,233.0,275.1,288.98,3.52,3.15,3.34,3.25
21.7,23.45,24.31,25.86,4.59,4.54,4.683,4.648,5.503,5.71,5.705,5.669,5.858,6.188,6.1,6.019,987.77,1007.12,994.72,987.38,139.93,129.19,141.85,130.85,121.144,120.51,121.394,118.313,315.483,305.997,314.149,311.078,1457.01,1385.31,1319.95,1315.93,546.84,547.38,548.5,549.29,238.15,237.48,283.74,315.21,3.49,3.3,3.28,3.2
24.86,21.25,24.41,23.37,4.646,4.638,4.681,4.664,5.555,5.728,5.636,5.77,5.931,6.118,6.042,6.146,1009.1,1034.58,943.05,1014.69,142.68,134.67,138.6,135.71,121.071,118.791,121.454,119.962,315.174,309.476,314.588,312.082,1474.82,1411.95,1324.43,1333.28,544.41,548.25,547.91,547.99,259.64,258.02,253.36,275.1,3.59,3.26,3.52,3.34
27.12,22.92,21.7,24.31,4.585,4.651,4.59,4.683,5.482,5.814,5.503,5.705,5.869,6.171,5.858,6.1,1039.55,1007.86,987.77,994.72,137.99,130.6,139.93,141.85,120.06,118.608,121.144,121.394,311.147,310.577,315.483,314.149,1465.45,1369.47,1457.01,1319.95,536.9,548.17,546.84,548.5,226.13,288.98,238.15,283.74,3.75,3.25,3.49,3.28
27.25,25.86,24.86,24.41,4.583,4.648,4.646,4.681,5.443,5.669,5.555,5.636,5.843,6.019,5.931,6.042,1028.54,987.38,1009.1,943.05,136.71,130.85,142.68,138.6,120.212,118.313,121.071,121.454,311.358,311.078,315.174,314.588,1468.75,1315.93,1474.82,1324.43,538.45,549.29,544.41,547.91,262.49,315.21,259.64,253.36,3.58,3.2,3.59,3.52
26.12,23.37,27.12,21.7,4.622,4.664,4.585,4.59,5.535,5.77,5.482,5.503,5.929,6.146,5.869,5.858,967.7,1014.69,1039.55,987.77,132.97,135.71,137.99,139.93,120.195,119.962,120.06,121.144,309.803,312.082,311.147,315.483,1410.47,1333.28,1465.45,1457.01,537.47,547.99,536.9,546.84,219.97,275.1,226.13,238.15,3.61,3.34,3.75,3.49
25.24,24.31,27.25,24.86,4.73,4.683,4.583,4.646,5.62,5.705,5.443,5.555,5.986,6.1,5.843,5.931,1008.62,994.72,1028.54,1009.1,137.08,141.85,136.71,142.68,121.397,121.394,120.212,121.071,310.946,314.149,311.358,315.174,1439.63,1319.95,1468.75,1474.82,538.79,548.5,538.45,544.41,207.69,283.74,262.49,259.64,3.35,3.28,3.58,3.59
28.5,24.41,26.12,27.12,4.854,4.681,4.622,4.585,5.625,5.636,5.535,5.482,5.963,6.042,5.929,5.869,1031.16,943.05,967.7,1039.55,142.61,138.6,132.97,137.99,122.279,121.454,120.195,120.06,309.898,314.588,309.803,311.147,1409.11,1324.43,1410.47,1465.45,537.67,547.91,537.47,536.9,193.26,253.36,219.97,226.13,3.93,3.52,3.61,3.75
